"",Set,Count
406,"(21, 39)",105
1007,"(1, 17)",102
8647,"(46, 7)",101
3179,"(29, 9)",101
5388,"(17, 26)",100
5860,"(18, 9)",100
5250,"(27, 30)",100
905,"(17, 5)",100
3180,"(31, 42)",99
7290,"(20, 4)",99
1939,"(13, 15)",99
902,"(17, 38)",99
3360,"(17, 21)",99
3459,"(27, 4)",99
1895,"(39, 46)",98
1221,"(13, 22)",98
464,"(32, 34)",98
5297,"(34, 46)",97
6868,"(11, 34)",97
1120,"(15, 5)",97
2885,"(21, 38)",97
1435,"(39, 9)",96
3688,"(28, 38)",96
901,"(16, 38)",96
2983,"(13, 37)",96
6458,"(13, 31)",96
7041,"(21, 29)",96
1383,"(21, 24)",96
121,"(17, 42)",95
3034,"(17, 34)",95
7377,"(15, 6)",95
2399,"(25, 27)",95
405,"(21, 36)",95
4373,"(42, 6)",95
7123,"(24, 44)",95
462,"(27, 34)",95
514,"(24, 41)",95
3458,"(26, 46)",94
1987,"(13, 25)",94
3182,"(42, 9)",94
1994,"(4, 5)",94
3361,"(17, 41)",94
6339,"(17, 9)",94
3457,"(26, 4)",94
847,"(16, 6)",94
6032,"(10, 44)",93
6338,"(17, 4)",93
1892,"(38, 39)",93
1382,"(19, 24)",93
3825,"(17, 23)",93
1944,"(21, 7)",93
2650,"(38, 45)",93
3081,"(11, 23)",93
408,"(28, 36)",92
1788,"(25, 4)",92
3364,"(27, 41)",92
2548,"(13, 14)",92
2092,"(13, 38)",92
2985,"(17, 2)",92
3596,"(17, 29)",92
1638,"(16, 24)",92
4011,"(1, 28)",92
1,"(15, 27)",92
1282,"(14, 25)",92
683,"(30, 46)",92
6956,"(11, 46)",91
1125,"(20, 5)",91
3546,"(19, 25)",91
3503,"(22, 4)",91
17720,"(18, 34)",91
403,"(13, 40)",91
1840,"(22, 38)",91
2695,"(25, 33)",91
1890,"(31, 4)",91
5294,"(15, 25)",91
4366,"(2, 36)",91
2796,"(36, 45)",91
4773,"(37, 48)",91
3086,"(36, 4)",91
1231,"(3, 6)",91
5160,"(23, 3)",90
1432,"(28, 4)",90
3318,"(41, 46)",90
1068,"(21, 37)",90
6871,"(34, 7)",90
903,"(17, 40)",90
6784,"(17, 36)",90
4772,"(37, 47)",90
234,"(2, 40)",90
411,"(36, 39)",90
9862,"(29, 4)",90
6416,"(3, 32)",90
1122,"(2, 5)",90
2140,"(13, 20)",90
3738,"(3, 7)",90
2141,"(13, 29)",90
4943,"(15, 28)",90
4054,"(17, 22)",90
8840,"(25, 26)",90
4586,"(34, 47)",90
6296,"(49, 5)",89
3598,"(18, 29)",89
1170,"(1, 21)",89
3920,"(42, 44)",89
63,"(19, 42)",89
2349,"(19, 45)",89
4372,"(38, 9)",89
1332,"(24, 26)",89
3032,"(15, 34)",89
2400,"(27, 5)",89
2144,"(20, 29)",89
4224,"(15, 42)",89
350,"(28, 8)",89
342,"(19, 28)",89
509,"(22, 37)",89
2047,"(3, 34)",89
4945,"(18, 28)",89
1585,"(10, 32)",89
239,"(20, 6)",89
4631,"(15, 31)",89
6080,"(1, 38)",89
844,"(16, 21)",89
2045,"(29, 34)",89
5162,"(3, 31)",89
6,"(24, 37)",88
7893,"(28, 6)",88
1228,"(27, 3)",88
3685,"(10, 38)",88
632,"(2, 9)",88
2350,"(20, 26)",88
3363,"(21, 41)",88
1696,"(13, 32)",88
8,"(24, 8)",88
125,"(24, 47)",88
1073,"(34, 4)",88
5558,"(21, 26)",88
352,"(30, 47)",88
1011,"(17, 27)",88
4099,"(40, 46)",88
734,"(1, 16)",88
2649,"(33, 45)",88
2882,"(18, 21)",88
795,"(16, 42)",88
8095,"(24, 3)",88
235,"(2, 49)",88
458,"(1, 34)",88
6295,"(38, 7)",88
4818,"(36, 37)",88
5344,"(36, 5)",88
7501,"(34, 36)",88
1535,"(23, 46)",88
521,"(41, 45)",88
2840,"(31, 34)",88
4498,"(28, 43)",88
2250,"(15, 35)",88
286,"(1, 45)",88
3913,"(1, 20)",87
2935,"(31, 49)",87
6205,"(17, 20)",87
515,"(24, 45)",87
2933,"(25, 31)",87
1894,"(38, 46)",87
5035,"(20, 46)",87
906,"(38, 40)",87
575,"(27, 36)",87
2498,"(23, 41)",87
3455,"(16, 27)",87
626,"(16, 2)",87
3362,"(17, 49)",87
171,"(14, 26)",87
1992,"(23, 6)",87
119,"(17, 24)",87
3595,"(17, 18)",87
351,"(30, 31)",87
1885,"(2, 38)",87
961,"(41, 8)",87
4322,"(25, 7)",87
404,"(21, 28)",87
848,"(21, 25)",87
1222,"(13, 3)",87
294,"(45, 48)",87
1069,"(21, 4)",87
5557,"(21, 23)",87
2347,"(19, 20)",87
3128,"(12, 21)",87
242,"(49, 6)",87
1118,"(15, 20)",87
3031,"(15, 17)",87
460,"(14, 34)",87
1647,"(29, 32)",87
5989,"(14, 31)",87
1639,"(16, 29)",86
4946,"(18, 46)",86
953,"(20, 41)",86
565,"(18, 27)",86
5205,"(24, 34)",86
3269,"(10, 30)",86
290,"(14, 45)",86
1380,"(13, 24)",86
2148,"(23, 38)",86
3035,"(17, 8)",86
231,"(18, 49)",86
857,"(48, 6)",86
1169,"(1, 13)",86
466,"(34, 9)",86
5900,"(29, 5)",86
299,"(7, 9)",86
6870,"(25, 37)",86
4674,"(12, 34)",86
1784,"(18, 4)",86
