"",year,number,count
34,2024,35,7
36,2024,37,8
8,2024,9,8
7,2024,8,8
28,2024,29,8
30,2024,31,8
9,2023,10,25
37,2023,38,26
16,2023,17,26
38,2023,39,26
25,2023,26,25
20,2023,21,24
27,2022,28,26
12,2022,13,27
39,2022,40,27
43,2022,44,28
25,2022,26,29
41,2022,42,29
43,2021,44,26
38,2021,39,28
22,2021,23,27
17,2021,18,25
14,2021,15,25
2,2021,3,25
2,2020,3,25
29,2020,30,26
34,2020,35,26
45,2020,46,26
30,2020,31,27
26,2020,27,28
43,2019,44,25
44,2019,45,25
24,2019,25,25
17,2019,18,26
2,2019,3,28
18,2019,19,32
42,2018,43,25
8,2018,9,25
48,2018,49,25
41,2018,42,28
19,2018,20,29
15,2018,16,26
24,2017,25,26
38,2017,39,25
1,2017,2,25
37,2017,38,26
6,2017,7,26
42,2017,43,26
17,2016,18,23
11,2016,12,24
27,2016,28,24
46,2016,47,24
15,2016,16,25
25,2016,26,28
7,2015,8,27
5,2015,6,26
17,2015,18,27
10,2015,11,25
43,2015,44,25
15,2015,16,24
39,2014,40,24
15,2014,16,24
47,2014,48,25
28,2014,29,26
38,2014,39,26
7,2014,8,34
35,2013,36,24
19,2013,20,24
28,2013,29,24
34,2013,35,25
33,2013,34,26
40,2013,41,29
11,2012,12,9
42,2012,43,9
26,2012,27,10
43,2012,44,8
22,2012,23,8
39,2012,40,12
