number,date,numbers,szostka_count,szostka_value,piatka_count,piatka_value,czworka_count,czworka_value,trojka_count,trojka_value
5259,29-12-2012,"24,26,31,42,43,45",0,0.0,24,3500.0,1406,100.0,28201,10.0
5258,27-12-2012,"1,18,19,40,43,44",2,1000000.0,33,3500.0,1419,100.0,25840,10.0
5257,25-12-2012,"10,11,21,23,38,44",0,0.0,36,3500.0,1922,100.0,34462,10.0
5256,22-12-2012,"7,11,20,29,42,47",0,0.0,30,3500.0,2032,100.0,36258,10.0
5255,20-12-2012,"20,21,27,31,43,49",0,0.0,14,3500.0,1038,100.0,21569,10.0
5254,18-12-2012,"3,6,14,29,40,43",0,0.0,16,3500.0,1059,100.0,21147,10.0
5253,15-12-2012,"9,18,32,37,40,48",0,0.0,36,3500.0,1888,100.0,33982,10.0
5252,13-12-2012,"7,22,23,28,32,33",0,0.0,37,3500.0,1588,100.0,30569,10.0
5251,11-12-2012,"3,12,25,26,27,38",0,0.0,27,3500.0,1615,100.0,28409,10.0
5250,08-12-2012,"9,24,35,40,46,49",0,0.0,23,3500.0,1290,100.0,24600,10.0
5249,06-12-2012,"7,12,19,29,30,37",0,0.0,23,3500.0,1394,100.0,25657,10.0
5248,04-12-2012,"25,36,39,40,41,48",0,0.0,21,3500.0,1025,100.0,19590,10.0
5247,01-12-2012,"2,10,27,33,42,47",0,0.0,41,3500.0,2520,100.0,44734,10.0
5246,29-11-2012,"12,19,20,28,40,43",0,0.0,29,3500.0,1609,100.0,31272,10.0
5245,27-11-2012,"8,10,12,33,42,47",0,0.0,21,3500.0,1609,100.0,30028,10.0
5244,24-11-2012,"1,12,15,30,41,44",0,0.0,29,3500.0,1427,100.0,28794,10.0
5243,22-11-2012,"9,12,22,27,46,48",2,1000000.0,16,3500.0,1162,100.0,22849,10.0
5242,20-11-2012,"2,3,22,35,37,45",0,0.0,27,3500.0,1336,100.0,26456,10.0
5241,17-11-2012,"2,6,12,25,29,43",0,0.0,46,3500.0,1921,100.0,32972,10.0
5240,15-11-2012,"8,10,12,22,28,35",0,0.0,68,3500.0,2675,100.0,43014,10.0
5239,13-11-2012,"1,11,21,33,45,49",1,1000000.0,40,3500.0,2011,100.0,33572,10.0
5238,10-11-2012,"9,16,20,30,34,41",0,0.0,33,3500.0,1574,100.0,30136,10.0
5237,08-11-2012,"18,24,32,41,44,45",0,0.0,21,3500.0,1092,100.0,21163,10.0
5236,06-11-2012,"7,16,20,27,28,30",0,0.0,171,3500.0,9866,100.0,186626,10.0
5235,03-11-2012,"6,21,23,27,39,44",7,1000000.0,120,3500.0,5332,100.0,94810,10.0
5234,01-11-2012,"10,23,34,35,36,43",0,0.0,47,3500.0,2622,100.0,49788,10.0
5233,30-10-2012,"1,14,15,19,40,41",0,0.0,52,3500.0,2881,100.0,52817,10.0
5232,27-10-2012,"23,27,28,29,30,36",1,1000000.0,33,3500.0,2716,100.0,52719,10.0
5231,25-10-2012,"4,18,36,40,44,49",1,1000000.0,25,3500.0,2002,100.0,37672,10.0
5230,23-10-2012,"7,17,29,30,41,45",0,0.0,33,3500.0,1971,100.0,36784,10.0
5229,20-10-2012,"1,3,6,11,20,38",0,0.0,44,3500.0,2596,100.0,45461,10.0
5228,18-10-2012,"2,8,17,34,35,44",0,0.0,26,3500.0,1605,100.0,27796,10.0
5227,16-10-2012,"16,18,27,31,34,40",0,0.0,29,3500.0,1281,100.0,24177,10.0
5226,13-10-2012,"3,8,13,14,32,36",0,0.0,35,3500.0,1869,100.0,32427,10.0
5225,11-10-2012,"20,23,29,30,37,47",0,0.0,22,3500.0,858,100.0,16890,10.0
5224,09-10-2012,"2,3,5,16,17,34",0,0.0,25,3500.0,1400,100.0,25397,10.0
5223,06-10-2012,"4,8,11,15,31,38",0,0.0,32,3500.0,1520,100.0,26732,10.0
5222,04-10-2012,"1,10,13,16,24,26",0,0.0,30,3500.0,1336,100.0,22317,10.0
5221,02-10-2012,"1,12,23,28,35,38",0,0.0,37,3500.0,1856,100.0,31925,10.0
5220,29-09-2012,"5,11,27,38,39,45",0,0.0,30,3500.0,1804,100.0,32658,10.0
5219,27-09-2012,"7,18,24,27,31,40",0,0.0,23,3500.0,1223,100.0,21752,10.0
5218,25-09-2012,"4,9,14,24,44,47",0,0.0,24,3500.0,1086,100.0,19102,10.0
5217,22-09-2012,"11,13,22,28,32,37",0,0.0,66,3500.0,3893,100.0,71403,10.0
5216,20-09-2012,"9,15,17,20,23,40",0,0.0,55,3500.0,2869,100.0,50733,10.0
5215,18-09-2012,"24,36,40,41,43,47",0,0.0,31,3500.0,2045,100.0,36206,10.0
5214,15-09-2012,"4,5,37,39,43,49",0,0.0,33,3500.0,1714,100.0,33363,10.0
5259,29-12-2012,"24,26,31,42,43,45",0,0.0,24,3500.0,1406,100.0,28201,10.0
5258,27-12-2012,"1,18,19,40,43,44",2,1000000.0,33,3500.0,1419,100.0,25840,10.0
5257,25-12-2012,"10,11,21,23,38,44",0,0.0,36,3500.0,1922,100.0,34462,10.0
5256,22-12-2012,"7,11,20,29,42,47",0,0.0,30,3500.0,2032,100.0,36258,10.0
5255,20-12-2012,"20,21,27,31,43,49",0,0.0,14,3500.0,1038,100.0,21569,10.0
5254,18-12-2012,"3,6,14,29,40,43",0,0.0,16,3500.0,1059,100.0,21147,10.0
5253,15-12-2012,"9,18,32,37,40,48",0,0.0,36,3500.0,1888,100.0,33982,10.0
5252,13-12-2012,"7,22,23,28,32,33",0,0.0,37,3500.0,1588,100.0,30569,10.0
5251,11-12-2012,"3,12,25,26,27,38",0,0.0,27,3500.0,1615,100.0,28409,10.0
5250,08-12-2012,"9,24,35,40,46,49",0,0.0,23,3500.0,1290,100.0,24600,10.0
5249,06-12-2012,"7,12,19,29,30,37",0,0.0,23,3500.0,1394,100.0,25657,10.0
